Num_Ord;Type_Contrat;Type_Filiere;Type_Secteur;Type_Personnel;Corps_Filiere;Grades;Categorie;"Indice Minimum avant
01/03/2022";"Indice Minimum
A partir du 01/03/2022";"Indice Minimum
A partir du 01/01/2023";"Indice Minimum
A partir du 01/01/2024"
154;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 2;3;240;290;365;440
155;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 1;5;288;338;413;488
156;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 1 - Chef de Parc;5;288;338;413;488
157;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 1 - Chef d'Atelier;5;288;338;413;488
158;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 1 - Chef Magasinier;5;288;338;413;488
159;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 1 - Chef de Cuisine;5;288;338;413;488
160;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 1 - Responsable du Service Interieur;5;288;338;413;488
161;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Hors Categorie;6;315;365;440;515
162;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Hors Categorie - Chef de Parc;6;315;365;440;515
163;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Hors Categorie - Chef d'Atelier;6;315;365;440;515
164;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Hors Categorie - Chef Magasinier;6;315;365;440;515
165;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Hors Categorie - Chef de Cuisine;6;315;365;440;515
166;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Hors Categorie - Responsable du Service Interieur;6;315;365;440;515
167;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Conducteurs d'automobile;Corps des Conducteurs díautomobile;Conducteur d'automobile Cat 2;2;219;269;344;419
168;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Conducteurs d'automobile;Corps des Conducteurs díautomobile;Conducteur d'automobile Cat 2 - Chef de Parc;2;219;269;344;419
169;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Conducteurs d'automobile;Corps des Conducteurs díautomobile;Conducteur d'automobile Cat 1;3;240;290;365;440
170;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Conducteurs d'automobile;Corps des Conducteurs díautomobile;Conducteur d'automobile Cat 1 - Chef de Parc;3;240;290;365;440
171;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Appariteurs;Corps des Appariteurs;Appariteur;1;200;250;325;400
172;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Appariteurs;Corps des Appariteurs;Appariteur Principal;2;219;269;344;419
173;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Ouvriers Professionnels;Ouvriers Professionnels Contractuels;Ouvrier Professionnel Niv 1;1;200;250;325;400
174;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Ouvriers Professionnels;Ouvriers Professionnels Contractuels;Ouvrier Professionnel Niv 2;3;240;290;365;440
175;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Ouvriers Professionnels;Ouvriers Professionnels Contractuels;Ouvrier Professionnel Niv 3;5;288;338;413;488
176;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Ouvriers Professionnels;Ouvriers Professionnels Contractuels;Ouvrier Professionnel Niv 4;6;315;365;440;515
177;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Agents de service;Agents de service Contractuels;Agent de service Niv 1;1;200;250;325;400
178;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Agents de service;Agents de service Contractuels;Agent de service Niv 2;3;240;290;365;440
179;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Agents de service;Agents de service Contractuels;Agent de service Niv 3;5;288;338;413;488
180;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Conducteurs d'automobile;Conducteurs d'automobile Contractuels;Conducteur d'automobile Niveau 1;2;219;269;344;419
181;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Conducteurs d'automobile;Conducteurs d'automobile Contractuels;Conducteur d'automobile Niveau 2;3;240;290;365;440
182;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Conducteurs d'automobile;Conducteurs d'automobile Contractuels;Conducteur d'automobile Niveau 3 et Chef de Parc;4;263;313;388;463
183;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Gardiens;Gardiens Contractuels;Gardien;1;200;250;325;400
184;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Agents de prevention;Agents de prevention Contractuels;Agent de prevention Niv 1;5;288;338;413;488
185;Regime_Contractuel;OUVRIERS_AGENTS;Ouvriers Conducteurs Appariteurs Contractuels;Agents de prevention;Agents de prevention Contractuels;Agent de prevention Niv 2;7;348;398;473;548
