Num_Ord;Type_Contrat;Type_Filiere;Type_Secteur;Type_Personnel;Corps_Filiere;Grades;Categorie;"Indice Minimum avant
01/03/2022";"Indice Minimum
A partir du 01/03/2022";"Indice Minimum
A partir du 01/01/2023";"Indice Minimum
A partir du 01/01/2024"
36;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Intendance;Corps des Adjoints des services Economiques;Adjoint principal des services Economiques;8;379;429;504;579
37;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Intendance;Corps des Sous-intendants;Sous-intendant;10;453;503;578;653
38;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Intendance;Corps des Sous-intendants;Sous-intendant gestionnaire;11;498;548;623;698
39;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Intendance;Corps des Intendants;Intendant;13;578;628;703;778
40;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels d'Intendance;Corps des Intendants;Intendant principal;14;621;671;746;821
41;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels de Laboratoire;Corps des Aides techniques de laboratoire;Aide technique de laboratoire;4;263;313;388;463
42;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels de Laboratoire;Corps des Agents techniques de laboratoire;Agent technique de laboratoire;5;288;338;413;488
43;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels de Laboratoire;Corps des Adjoints techniques de laboratoire;Adjoint technique de laboratoire;7;348;398;473;548
44;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels de Laboratoire;Corps des Attaches de laboratoire;Attache de laboratoire;8;379;429;504;579
45;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels de Laboratoire;Corps des Attaches de laboratoire;Attache principal de laboratoire;10;453;503;578;653
46;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels de Laboratoire;Corps des Attaches de laboratoire;Attache en chef de laboratoire;11;498;548;623;698
47;Statut_Fonctionnaire;ADMIN;Education Nationale;Personnels de Laboratoire;Corps des Attaches de laboratoire;Attache superviseur de laboratoire;12;537;587;662;737
48;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Administrateurs;Administrateur;12;537;587;662;737
49;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Administrateurs;Administrateur analyste;13;578;628;703;778
50;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Administrateurs;Administrateur principal;14;621;671;746;821
51;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Administrateurs;Administrateur conseiller;16;713;763;838;913
52;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Assistants administrateurs;Assistant administrateur;11;498;548;623;698
53;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Attaches d'Administration;Attache d'administration;9;418;468;543;618
54;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Attaches d'Administration;Attache Principal d'administration;10;453;503;578;653
55;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Agents d'Administration;Agent de bureau;5;288;338;413;488
56;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Agents d'Administration;Agent d'administration;7;348;398;473;548
57;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Agents d'Administration;Agent Principal d'administration;8;379;429;504;579
58;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Agents d'Administration;Agent de saisie;5;288;338;413;488
59;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Secretaires;Secretaire;6;315;365;440;515
60;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Secretaires;Secretaire de direction;8;379;429;504;579
61;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Secretaires;Secretaire Principal de direction;10;453;503;578;653
62;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Comptables administratifs;Aide-comptable administratif;5;288;338;413;488
63;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Comptables administratifs;Comptable administratif;8;379;429;504;579
64;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Administration générale;Corps des Comptables administratifs;Comptable administratif principal;10;453;503;578;653
65;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Traduction - interprétariat;Corps des Traducteurs interprètes;Traducteur-interprète;12;537;587;662;737
66;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Traduction - interprétariat;Corps des Traducteurs interprètes;Traducteur-interprete spécialisé;13;578;628;703;778
67;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Traduction - interprétariat;Corps des Traducteurs interprètes;Traducteur-interprète principal;14;621;671;746;821
68;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Traduction - interprétariat;Corps des Traducteurs interprètes;Traducteur-interprete en chef;16;713;763;838;913
69;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Informatique;Corps des Ingenieurs;Ingenieur d’Etat en Informatique;13;578;628;703;778
70;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Informatique;Corps des Ingenieurs;Ingenieur principal en Informatique;14;621;671;746;821
71;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Informatique;Corps des Ingenieurs;Ingenieur en chef en Informatique;16;713;763;838;913
72;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Informatique;Corps des Assistants Ingenieurs;Assistant Ingenieur de niveau 1 en Informatique;11;498;548;623;698
73;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Informatique;Corps des Assistants Ingenieurs;Assistant Ingenieur de niveau 2 en Informatique;12;537;587;662;737
74;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Informatique;Corps des Techniciens;Technicien en Informatique;8;379;429;504;579
75;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Informatique;Corps des Techniciens;Technicien superieur en Informatique;10;453;503;578;653
76;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Informatique;Corps des Adjoints techniques;Adjoint technique en Informatique;7;348;398;473;548
77;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Informatique;Corps des Agents techniques;Agent technique en Informatique;5;288;338;413;488
78;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Statistiques;Corps des Ingenieurs;Ingenieur d’Etat en Statistiques;13;578;628;703;778
79;Statut_Fonctionnaire;ADMIN;Corps Communs;Personnels Statistiques;Corps des Ingenieurs;Ingenieur principal en Statistiques;14;621;671;746;821
