ID;Corps_Statut;Typ_Personnels;Corps_Grades;Grades;Categorie;"Indice Minimum avant
01/03/2022";"Indice Minimum
A partir du 01/03/2022";"Indice Minimum
A partir du 01/01/2023";"Indice Minimum
A partir du 01/01/2024"
157;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Hors Categorie;6;315;365;440;515
158;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Hors Categorie - Chef de Parc;6;315;365;440;515
159;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Hors Categorie - Chef d'Atelier;6;315;365;440;515
160;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Hors Categorie - Chef Magasinier;6;315;365;440;515
161;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Hors Categorie - Chef de Cuisine;6;315;365;440;515
162;Ouvriers Prof.,Conducteurs automob. Appariteurs;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Hors Categorie - Responsable du Service Interieur;6;315;365;440;515
163;Ouvriers Prof.,Conducteurs automob. Appariteurs;Conducteurs d'automobile;Corps des Conducteurs d?automobile;Conducteur d'automobile Cat 2;2;219;269;344;419
164;Ouvriers Prof.,Conducteurs automob. Appariteurs;Conducteurs d'automobile;Corps des Conducteurs d?automobile;Conducteur d'automobile Cat 2 - Chef de Parc;2;219;269;344;419
165;Ouvriers Prof.,Conducteurs automob. Appariteurs;Conducteurs d'automobile;Corps des Conducteurs d?automobile;Conducteur d'automobile Cat 1;3;240;290;365;440
166;Ouvriers Prof.,Conducteurs automob. Appariteurs;Conducteurs d'automobile;Corps des Conducteurs d?automobile;Conducteur d'automobile Cat 1 - Chef de Parc;3;240;290;365;440
167;Ouvriers Prof.,Conducteurs automob. Appariteurs;Appariteurs;Corps des Appariteurs;Appariteur;1;200;250;325;400
168;Ouvriers Prof.,Conducteurs automob. Appariteurs;Appariteurs;Corps des Appariteurs;Appariteur Principal;2;219;269;344;419
169;Agents Contractuels;Ouvriers Professionnels Contractuels;Ouvriers Professionnels Contractuels;Ouvrier Professionnel Niv 1;1;200;250;325;400
170;Agents Contractuels;Ouvriers Professionnels Contractuels;Ouvriers Professionnels Contractuels;Ouvrier Professionnel Niv 2;3;240;290;365;440
171;Agents Contractuels;Ouvriers Professionnels Contractuels;Ouvriers Professionnels Contractuels;Ouvrier Professionnel Niv 3;5;288;338;413;488
172;Agents Contractuels;Ouvriers Professionnels Contractuels;Ouvriers Professionnels Contractuels;Ouvrier Professionnel Niv 4;6;315;365;440;515
173;Agents Contractuels;Agents de service Contractuels;Agents de service Contractuels;Agent de service Niv 1;1;200;250;325;400
174;Agents Contractuels;Agents de service Contractuels;Agents de service Contractuels;Agent de service Niv 2;3;240;290;365;440
175;Agents Contractuels;Agents de service Contractuels;Agents de service Contractuels;Agent de service Niv 3;5;288;338;413;488
176;Agents Contractuels;Conducteurs d'automobile Contractuels;Conducteurs d'automobile Contractuels;Conducteur d'automobile Niveau 1;2;219;269;344;419
177;Agents Contractuels;Conducteurs d'automobile Contractuels;Conducteurs d'automobile Contractuels;Conducteur d'automobile Niveau 2;3;240;290;365;440
178;Agents Contractuels;Conducteurs d'automobile Contractuels;Conducteurs d'automobile Contractuels;Conducteur d'automobile Niveau 3 et Chef de Parc;4;263;313;388;463
179;Agents Contractuels;Gardiens Contractuels;Gardiens Contractuels;Gardien;1;200;250;325;400
180;Agents Contractuels;Agents de prevention Contractuels;Agents de prevention Contractuels;Agent de prevention Niv 1;5;288;338;413;488
181;Agents Contractuels;Agents de prevention Contractuels;Agents de prevention Contractuels;Agent de prevention Niv 2;7;348;398;473;548
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;ÇáÃÓÇÊĞÉ_ÇáãÊÚÇŞÏæä;ãÓÊÎÏãí_ÇáÊÚáíã_ÇáÇÈÊÏÇÆí_ÇáãÊÚÇŞÏíä ;;;;;;;
;ÇáÃÓÇÊĞÉ_ÇáãÊÚÇŞÏæä;ãÓÊÎÏãí_ÇáÊÚáíã_ÇáãÊæÓØ_ÇáãÊÚÇŞÏíä ;;;;;;;
;ÇáÃÓÇÊĞÉ_ÇáãÊÚÇŞÏæä;ãÓÊÎÏãí_ÇáÊÚáíã_ÇáËÇäæí_ÇáãÊÚÇŞÏíä;;;;;;;
;ÇáÃÓÇÊĞÉ_ÇáãÊÚÇŞÏæä;ãÓÊÎÏãí_ÇáÊÚáíã_ÇáËÇäæí_ÇáãÊÚÇŞÏíä_ÍÇãáí_ÇáãÇÓÊÑ;;;;;;;
;ÇáÃÓáÇß_ÇáãÔÊÑßÉ;ãÓÊÎÏãí_ÔÚÈÉ_ÇáÅÏÇÑÉ_ÇáÚÇãÉ;;;;;;;
;ÇáÃÓáÇß_ÇáãÔÊÑßÉ;ãÓÊÎÏãí_ÔÚÈÉ_ÇáãÎÈÑ_æÇáÕíÇäÉ;;;;;;;
;ÇáÃÓáÇß_ÇáãÔÊÑßÉ;ãÓÊÎÏãí_ÔÚÈÉ_ÇáÊÑÌãÉ;;;;;;;
;ÇáÃÓáÇß_ÇáãÔÊÑßÉ;ãÓÊÎÏãí_ÔÚÈÉ_ÇáÅÚáÇã_ÇáÂáí;;;;;;;
;ÇáÃÓáÇß_ÇáãÔÊÑßÉ;ãÓÊÎÏãí_ÔÚÈÉ_ÇáÅÍÕÇÁ;;;;;;;
;ÇáÃÓáÇß_ÇáãÔÊÑßÉ;ãÓÊÎÏãí_ÔÚÈÉ_ÇáÊæËíŞ;;;;;;;
;ÇáÚãÇá_Çáãåäíæä_æ_ÓÇÆŞí_ÇáÓíÇÑÇÊ_æ_ÇáÍÌÇÈ;ÇáÚãÇá_Çáãåäíæä;;;;;;;
;ÇáÚãÇá_Çáãåäíæä_æ_ÓÇÆŞí_ÇáÓíÇÑÇÊ_æ_ÇáÍÌÇÈ;ÓÇÆŞí_ÇáÓíÇÑÇÊ;;;;;;;
;ÇáÚãÇá_Çáãåäíæä_æ_ÓÇÆŞí_ÇáÓíÇÑÇÊ_æ_ÇáÍÌÇÈ;ÇáÍÌÇÈ;;;;;;;
;ÇáÃÚæÇä_ÇáãÊÚÇŞÏæä;ÇáÚãÇá_Çáãåäíæä_ÇáãÊÚÇŞÏæä;;;;;;;
;ÇáÃÚæÇä_ÇáãÊÚÇŞÏæä;ÃÚæÇä_ÇáÎÏãÉ_ÇáãÊÚÇŞÏæä;;;;;;;
;ÇáÃÚæÇä_ÇáãÊÚÇŞÏæä;ÓÇÆŞí_ÇáÓíÇÑÉ_ÇáãÊÚÇŞÏæä;;;;;;;
;ÇáÃÚæÇä_ÇáãÊÚÇŞÏæä;ÇáÍÑÇÓ_ÇáãÊÚÇŞÏæä;;;;;;;
;ÇáÃÚæÇä_ÇáãÊÚÇŞÏæä;ÃÚæÇä_ÇáæŞÇíÉ_ÇáãÊÚÇŞÏæä;;;;;;;
;;;;;;;;;
;;;;;;;;;
;ãÓÊÎÏãí_ÇáÊÚáíã;ãÓÊÎÏãí_ÇáÊÑÈíÉ;ãÓÊÎÏãí_ÇáÊæÌíå_æÇáÇÑÔÇÏ;ãÓÊÎÏãí_ÇáãÎÈÑ;ãÓÊÎÏãí_ÇáÊÚáíã_ÇáËÇäæí_ÇáãÊÚÇŞÏíä;ãÓÊÎÏãí_ÇáÊÚáíã_ÇáÇÈÊÏÇÆí_ÇáãÊÚÇŞÏíä ;ãÓÊÎÏãí_ÇáÊÚáíã_ÇáãÊæÓØ_ÇáãÊÚÇŞÏíä ;;
;ãÚáã ãÓÇÚÏ;ãÓÇÚÏ ÇáÊÑÈíÉ ;ãÓÊÔÇÑæ ÇáÊæÌíå  ÇáãÏÑÓí æ Çáãåäí;ãÓÇÚÏ ÊŞäí ááãÎÇÈÑ ;ÃÓÊÇĞ ãÊÚÇŞÏ ááÊÚáíã ÇáËÇäæí;ÃÓÊÇĞ ãÊÚÇŞÏ ááÊÚáíã ÇáÇÈÊÏÇÆí;ÃÓÊÇĞ ãÊÚÇŞÏ ááÊÚáíã ÇáãÊæÓØ;;
;ÃÓÊÇĞ ÇáãÏÑÓÉ ÇáÅÈÊÏÇÆíÉ ;ãÓÇÚÏ ÑÆíÓí ááÊÑÈíÉ ;ãÓÊÔÇÑ ÇáÊæÌíå æ ÇáÅÑÔÇÏ ÇáãÏÑÓí æ Çáãåäí;Úæä ÊŞäí ááãÎÇÈÑ;ÃÓÊÇĞ ãÊÚÇŞÏ ááÊÚáíã ÇáËÇäæí-ÍÇÆÒ Úáì ÇáãÇÓÊÑ-;;;;
;ÃÓÊÇĞ ÑÆíÓí ááãÏÑÓÉ ÇáÅÈÊÏÇÆíÉ;ãÔÑİ ÇáÊÑÈíÉ ;ãÓÊÔÇÑ ÑÆíÓí ááÊæÌíå æ ÇáÅÑÔÇÏ ÇáãÏÑÓí æ Çáãåäí;ãÚÇæä ÊŞäí ááãÎÇÈÑ;;;;;
;ÃÓÊÇĞ ãßæä İí ÇáãÏÑÓÉ ÇáÅÈÊÏÇÆíÉ;ãÔÑİ ÑÆíÓí ááÊÑÈíÉ;;ãáÍŞ ÈÇáãÎÇÈÑ;;;;;
;ãÚáã ÇáãÏÑÓÉ ÇáÇÈÊÏÇÆíÉ;ãÔÑİ ÑÆíÓ ááÊÑÈíÉ;;ãáÍŞ ÑÆíÓí ááãÎÇÈÑ;;;;;
;ÃÓÊÇĞ ÇáÊÚáíã ÇáÇÈÊÏÇÆí;ãÔÑİ ÚÇã ááÊÑÈíÉ;;;;;;;
;ÃÓÊÇĞ ÇáÊÚáíã ÇáÇÈÊÏÇÆí ŞÓã Ãæá;ãÑÈí ãÊÎÕÕ İí ÇáÏÚã ÇáÊÑÈæí;;;;;;;
;ÃÓÊÇĞ ÇáÊÚáíã ÇáÇÈÊÏÇÆí ŞÓã ËÇä;ãÑÈí ãÊÎÕÕ ÑÆíÓí İí ÇáÏÚã ÇáÊÑÈæí;;;;;;;
;ÃÓÊÇĞ ããíÒ İí ÇáÊÚáíã ÇáÇÈÊÏÇÆí;ãÑÈí ãÊÎÕÕ ÑÆíÓ İí ÇáÏÚã ÇáÊÑÈæí;;;;;;;
;ÃÓÊÇĞ ÇáÊÚáíã ÇáÃÓÇÓí;ãÑÈí ãÊÎÕÕ ÚÇã İí ÇáÏÚã ÇáÊÑÈæí;;;;;;;
;ÃÓÊÇĞ ÇáÊÚáíã ÇáãÊæÓØ;ãÓÊÔÇÑ  ÇáÊÑÈíÉ;;;;;;;
;ÃÓÊÇĞ ãäÓŞ ááÊÚáíã ÇáãÊæÓØ;ãÓÊÔÇÑ ÑÆíÓí ááÊÑÈíÉ;;;;;;;
;ÃÓÊÇĞ ÑÆíÓí ááÊÚáíã ÇáãÊæÓØ;ãÓÊÔÇÑ ÑÆíÓ ááÊÑÈíÉ ;;;;;;;
;ÃÓÊÇĞ ãßæä İí ÇáÊÚáíã ÇáãÊæÓØ;äÇÙÑ ËÇäæíÉ;;;;;;;
;ÃÓÊÇĞ ÇáÊÚáíã ÇáãÊæÓØ ŞÓã Ãæá;äÇÙÑ İí ÇáÊÚáíã ÇáÇÈÊÏÇÆí;;;;;;;
;ÃÓÊÇĞ ÇáÊÚáíã ÇáãÊæÓØ ŞÓã ËÇä;äÇÙÑ İí ÇáÊÚáíã ÇáãÊæÓØ;;;;;;;
;ÃÓÊÇĞ ããíÒ İí ÇáÊÚáíã ÇáãÊæÓØ;äÇÙÑ İí ÇáÊÚáíã ÇáËÇäæí;;;;;;;
;ÃÓÊÇĞ ÊŞäí İí ÇáËÇäæíÉ ÑÆíÓ æÑÔÉ ;;;;;;;;
;ÃÓÊÇĞ ÊŞäí İí ÇáËÇäæíÉ ÑÆíÓ ÃÔÛÇá ;;;;;;;;
;ÃÓÊÇĞ ÇáÊÚáíã ÇáËÇäæí ;;;;;;;;
;ÃÓÊÇĞ ãäÓŞ ááÊÚáíã ÇáËÇäæí;;;;;;;;
;ÃÓÊÇĞ ÑÆíÓí ááÊÚáíã ÇáËÇäæí;;;;;;;;
;ÃÓÊÇĞ ãßæä İí ÇáÊÚáíã ÇáËÇäæí;;;;;;;;
;ÃÓÊÇĞ ÇáÊÚáíã ÇáËÇäæí ŞÓã Ãæá;;;;;;;;
;ÃÓÊÇĞ ÇáÊÚáíã ÇáËÇäæí ŞÓã ËÇä;;;;;;;;
;ÃÓÊÇĞ ããíÒ İí ÇáÊÚáíã ÇáËÇäæí;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;ãÓÊÎÏãí_ÔÚÈÉ_ÇáÅÏÇÑÉ_ÇáÚÇãÉ;ãÓÊÎÏãí_ÔÚÈÉ_ÇáãÎÈÑ_æÇáÕíÇäÉ;ãÓÊÎÏãí_ÔÚÈÉ_ÇáÊÑÌãÉ;;;;;;
;ãÊÕÑİ;ãåäÏÓ ÏæáÉ İí ÇáãÎÈÑ æÇáÕíÇäÉ;ÇáãÊÑÌã - ÇáÊÑÌãÇä;;;;;;
;ãÊÕÑİ ãÍáá;ãåäÏÓ ÑÆíÓí İí ÇáãÎÈÑ æÇáÕíÇäÉ;ÇáãÊÑÌã-ÇáÊÑÌãÇä ÇáãÊÎÕÕ;;;;;;
;ãÊÕÑİ ÑÆíÓí;ÑÆíÓ ÇáãåäÏÓíä İí ÇáãÎÈÑ æÇáÕíÇäÉ;ÇáãÊÑÌã-ÇáÊÑÌãÇä ÇáÑÆíÓí;;;;;;
;ãÊÕÑİ ãÓÊÔÇÑ;ãÓÇÚÏ ãåäÏÓ ãÓÊæì 1 İí ÇáãÎÈÑ æÇáÕíÇäÉ;ÑÆíÓ ÇáãÊÑÌãíä -ÇáÊÑÇÌãÉ;;;;;;
;ãÓÇÚÏ ãÊÕÑİ;ãÓÇÚÏ ãåäÏÓ ãÓÊæì 2 İí ÇáãÎÈÑ æÇáÕíÇäÉ;;;;;;;
;ãáÍŞ ÅÏÇÑÉ;ÊŞäí ãÎÈÑ;;;;;;;
;ãáÍŞ ÑÆíÓí ááÅÏÇÑÉ;ÊŞäí ÓÇã ááãÎÈÑ;;;;;;;
;Úæä ãßÊÈ;ãÚÇæä ÊŞäí ááãÎÈÑ;;;;;;;
;Úæä ÅÏÇÑÉ;Úæä ÊŞäí ááãÎÈÑ;;;;;;;
;Úæä  ÅÏÇÑÉ ÑÆíÓí;Úæä ãÎÈÑ;;;;;;;
;Úæä ÍİÙ ÇáÈíÇäÇÊ;;;;;;;;
;ßÇÊÈ;;;;;;;;
;ßÇÊÈ ãÏíÑíÉ;;;;;;;;
;ßÇÊÈ ãÏíÑíÉ ÑÆíÓí;;;;;;;;
;ãÓÜÇÚÏ ãÍÇÓÈ ÅÏÇÑí;;;;;;;;
;ãÍÇÓÈ ÅÏÇÑí;;;;;;;;
;ãÍÇÓÈ ÅÏÇÑí ÑÆíÓí;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;ÇáÚãÇá_Çáãåäíæä;ÓÇÆŞí_ÇáÓíÇÑÇÊ;ÇáÍÌÇÈ;ÇáÍÑÇÓ_ÇáãÊÚÇŞÏæä;ÃÚæÇä_ÇáæŞÇíÉ_ÇáãÊÚÇŞÏæä;;;;
;ÚÇãá ãåäí ãä ÇáÕäİ ÇáËÇáË;ÓÇÆŞ ÇáÓíÇÑÉ ãä ÇáÕäİ ÇáËÇäí;ÍÇÌÈ;ÍÇÑÓ;Úæä ÇáæŞÇíÉ ãä ÇáãÓÊæì ÇáÃæá;;;;
;ÚÇãá ãåäí ãä ÇáÕäİ ÇáËÇäí;ÓÇÆŞ ÇáÓíÇÑÉ ãä ÇáÕäİ ÇáËÇäí-ÑÆíÓ ÍÙíÑÉ;ÍÇÌÈ ÑÆíÓí;;Úæä ÇáæŞÇíÉ ãä ÇáãÓÊæì ÇáËÇäí;;;;
;ÚÇãá ãåäí ãä ÇáÕäİ ÇáÃæá;ÓÇÆŞ ÇáÓíÇÑÉ ãä ÇáÕäİ ÇáÃæá;;;;;;;
;ÚÇãá ãåäí Õ1-ÑÆíÓ ÍÙíÑÉ;ÓÇÆŞ ÇáÓíÇÑÉ ãä ÇáÕäİ ÇáÃæá-ÑÆíÓ ÍÙíÑÉ;;;;;;;
;ÚÇãá ãåäí Õ1-ÑÆíÓ æÑÔÉ;;;;;;;;
;ÚÇãá ãåäí Õ1-ÑÆíÓ ãÎÒä;;;;;;;;
;ÚÇãá ãåäí Õ1-ÑÆíÓ ãØÈÎ;;;;;;;;
;ÚÇãá ãåäí Õ1-ãÓÄæá ãÕáÍÉ ÏÇÎáíÉ;;;;;;;;
;ÚÇãá ãåäí ÎÇÑÌ ÇáÕäİ;;;;;;;;
;ÚÇãá ãåäí ÎÇÑÌ ÇáÕäİ-ÑÆíÓ ÍÙíÑÉ;;;;;;;;
;ÚÇãá ãåäí ÎÇÑÌ ÇáÕäİ-ÑÆíÓ æÑÔÉ;;;;;;;;
;ÚÇãá ãåäí ÎÇÑÌ ÇáÕäİ-ÑÆíÓ ãÎÒä;;;;;;;;
;ÚÇãá ãåäí ÎÇÑÌ ÇáÕäİ-ÑÆíÓ ãØÈÎ;;;;;;;;
;ÚÇãá ãåäí ÎÇÑÌ ÇáÕäİ-ãÓÄæá ãÕáÍÉ ÏÇÎáíÉ;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
